Number Time x_pos y_pos
587309.0 7.6 0.05 -0.15
587309.0 9.1 0.05 -0.15
587309.0 10.5 0.05 -0.15
587309.0 11.3 0.05 -0.15
587309.0 12.3 0.05 -0.15
587309.0 14.0 0.05 -0.15
587309.0 15.1 0.05 -0.15
587309.0 15.8 0.05 -0.15
587309.0 17.7 0.05 -0.15
587309.0 19.7 0.05 -0.15
587309.0 21.9 0.05 -0.15
587309.0 97.4 0.05 -0.15
587309.0 119.1 0.05 -0.15
587309.0 152.6 0.05 -0.15
587309.0 160.2 0.05 -0.15
587309.0 165.6 0.05 -0.15
587309.0 192.5 0.05 -0.15
587309.0 198.7 0.05 -0.15
587309.0 231.1 0.05 -0.15
587309.0 248.2 0.05 -0.15
587309.0 273.8 0.05 -0.15
587309.0 298.1 0.05 -0.15
587309.0 305.1 0.05 -0.15
587309.0 310.9 0.05 -0.15
587309.0 343.8 0.05 -0.15
587309.0 376.1 0.05 -0.15
587309.0 395.1 0.05 -0.15
587309.0 405.9 0.05 -0.15
587309.0 424.3 0.05 -0.15
587309.0 453.8 0.05 -0.15
587309.0 491.3 0.05 -0.15
587309.0 501.3 0.05 -0.15
587309.0 507.2 0.05 -0.15
587309.0 532.3 0.05 -0.15
587309.0 564.0 0.05 -0.15
587309.0 599.4 0.05 -0.15
587309.0 609.8 0.05 -0.15
587309.0 615.4 0.05 -0.15
587309.0 641.2 0.05 -0.15
587309.0 665.4 0.05 -0.15
595316.0 7.5 -0.05 0.15
603508.0 7.7 0.05 -0.05
595316.0 9.1 -0.05 0.15
603508.0 9.2 0.05 -0.05
595316.0 10.5 -0.05 0.15
595316.0 11.2 -0.05 0.15
603508.0 10.6 0.05 -0.05
603508.0 11.8 0.05 -0.05
595316.0 12.3 -0.05 0.15
603508.0 12.3 0.05 -0.05
595316.0 13.9 -0.05 0.15
595316.0 14.2 -0.05 0.15
603508.0 14.0 0.05 -0.05
595316.0 15.9 -0.05 0.15
603508.0 15.8 0.05 -0.05
595316.0 17.7 -0.05 0.15
603508.0 17.7 0.05 -0.05
595316.0 19.6 -0.05 0.15
603508.0 19.7 0.05 -0.05
595316.0 21.6 -0.05 0.15
603508.0 21.9 0.05 -0.05
595316.0 22.9 -0.05 0.15
595316.0 95.8 -0.05 0.15
603508.0 99.2 0.05 -0.05
595316.0 118.3 -0.05 0.15
603508.0 121.8 0.05 -0.05
595316.0 127.1 -0.05 0.15
595316.0 154.4 -0.05 0.15
603508.0 154.0 0.05 -0.05
595316.0 163.4 -0.05 0.15
603508.0 164.5 0.05 -0.05
595316.0 167.7 -0.05 0.15
595316.0 193.5 -0.05 0.15
603508.0 193.9 0.05 -0.05
603508.0 199.2 0.05 -0.05
595316.0 200.1 -0.05 0.15
603508.0 231.2 0.05 -0.05
595316.0 231.5 -0.05 0.15
603508.0 247.5 0.05 -0.05
595316.0 261.2 -0.05 0.15
603508.0 280.0 0.05 -0.05
595316.0 286.2 -0.05 0.15
595316.0 296.8 -0.05 0.15
603508.0 300.0 0.05 -0.05
595316.0 301.5 -0.05 0.15
603508.0 305.2 0.05 -0.05
595316.0 333.6 -0.05 0.15
603508.0 346.4 0.05 -0.05
595316.0 351.6 -0.05 0.15
595316.0 379.9 -0.05 0.15
603508.0 383.1 0.05 -0.05
595316.0 391.4 -0.05 0.15
595316.0 395.8 -0.05 0.15
603508.0 397.2 0.05 -0.05
595316.0 423.9 -0.05 0.15
603508.0 423.5 0.05 -0.05
595316.0 455.7 -0.05 0.15
603508.0 456.8 0.05 -0.05
595316.0 490.8 -0.05 0.15
603508.0 493.3 0.05 -0.05
595316.0 499.5 -0.05 0.15
603508.0 501.6 0.05 -0.05
595316.0 503.3 -0.05 0.15
603508.0 532.3 0.05 -0.05
595316.0 534.9 -0.05 0.15
603508.0 566.9 0.05 -0.05
595316.0 570.7 -0.05 0.15
595316.0 600.3 -0.05 0.15
603508.0 600.7 0.05 -0.05
603508.0 610.7 0.05 -0.05
595316.0 612.8 -0.05 0.15
595316.0 617.3 -0.05 0.15
595316.0 653.4 -0.05 0.15
603508.0 665.9 0.05 -0.05
595316.0 698.3 -0.05 0.15
595227.0 6.6 -0.15 0.05
595227.0 7.9 -0.15 0.05
603419.0 7.3 -0.05 -0.15
595227.0 9.0 -0.15 0.05
603419.0 9.0 -0.05 -0.15
595227.0 10.5 -0.15 0.05
595227.0 11.2 -0.15 0.05
603419.0 10.5 -0.05 -0.15
603419.0 11.2 -0.05 -0.15
595227.0 12.3 -0.15 0.05
603419.0 12.3 -0.05 -0.15
603419.0 13.4 -0.05 -0.15
