Number Time x_pos y_pos
336020.0 3638.8 -0.15 0.15
327923.0 3640.2 -0.15 -0.15
263123.0 3642.7 -0.15 -0.15
295521.0 3639.8 -0.15 0.05
279321.0 3637.3 -0.15 0.05
319822.0 3643.3 -0.15 -0.05
238823.0 3638.6 -0.15 -0.15
319823.0 3640.8 -0.15 -0.15
246922.0 3640.1 -0.15 -0.05
327921.0 3638.2 -0.15 0.05
392991.0 3636.7 0.15 0.15
376612.0 3637.4 -0.05 0.05
384804.0 3637.3 0.05 -0.15
384711.0 3637.4 -0.05 0.15
392903.0 3637.2 0.05 -0.05
392902.0 3636.8 0.05 0.05
401094.0 3636.4 0.15 -0.15
409011.0 3637.1 -0.05 0.15
376614.0 3637.2 -0.05 -0.15
376792.0 3637.2 0.15 0.05
392993.0 3636.7 0.15 -0.05
384801.0 3637.4 0.05 0.15
401091.0 3636.9 0.15 0.15
392721.0 3637.2 -0.15 0.15
400913.0 3637.4 -0.05 -0.05
376702.0 3637.5 0.05 0.05
384894.0 3637.0 0.15 -0.15
409191.0 3636.9 0.15 0.15
408923.0 3637.1 -0.15 -0.05
384893.0 3636.8 0.15 -0.05
376701.0 3637.0 0.05 0.15
384622.0 3637.4 -0.15 0.05
392814.0 3637.1 -0.05 -0.15
392722.0 3637.0 -0.15 0.05
400914.0 3636.9 -0.05 -0.15
408924.0 3636.9 -0.15 -0.15
400821.0 3636.7 -0.15 0.15
409013.0 3637.7 -0.05 -0.05
384624.0 3637.1 -0.15 -0.15
384892.0 3637.0 0.15 0.05
384623.0 3636.9 -0.15 -0.05
376703.0 3637.5 0.05 -0.05
392994.0 3636.8 0.15 -0.15
384802.0 3637.4 0.05 0.05
376794.0 3636.6 0.15 -0.15
408922.0 3636.8 -0.15 0.05
409101.0 3637.1 0.05 0.15
400912.0 3637.1 -0.05 0.05
409104.0 3637.4 0.05 -0.15
376611.0 3637.6 -0.05 0.15
384803.0 3636.9 0.05 -0.05
400911.0 3637.0 -0.05 0.15
409103.0 3637.4 0.05 -0.05
400822.0 3637.2 -0.15 0.05
409014.0 3637.4 -0.05 -0.15
384891.0 3637.4 0.15 0.15
392811.0 3637.3 -0.05 0.15
401003.0 3637.1 0.05 -0.05
401001.0 3637.5 0.05 0.15
409193.0 3637.1 0.15 -0.05
409194.0 3636.8 0.15 -0.15
401002.0 3637.1 0.05 0.05
392723.0 3636.5 -0.15 -0.05
401092.0 3636.8 0.15 0.05
376704.0 3637.5 0.05 -0.15
376791.0 3637.1 0.15 0.15
409012.0 3637.2 -0.05 0.05
392992.0 3636.4 0.15 0.05
376793.0 3637.0 0.15 -0.05
